State,ProjectType,ReportingPeriod,FundingAmount
10,6,2014,80832.61
10,6,2014,258938.6
10,19,2014,10308.0
10,6,2014,279974.81
10,19,2014,14465.0
10,6,2014,215025.0
10,6,2014,143671.0
10,19,2014,10798.0
10,6,2014,56783.0
10,6,2014,75389.0
10,19,2014,10941.0
10,6,2014,117132.59
10,6,2014,110091.0
10,6,2014,81940.66
10,6,2014,94199.8
10,6,2014,20561.31
10,6,2014,48360.0
10,6,2014,53770.21
10,19,2014,5146.0
10,6,2014,43179.0
10,6,2014,135094.36
10,6,2014,56170.0
10,6,2014,69327.29
10,19,2014,5720.0
10,6,2014,43492.0
10,19,2014,14739.0
10,0,2014,8633283.28
10,18,2014,290000.0
10,19,2014,10700.0
10,19,2014,5033.0
10,19,2014,10969.0
10,19,2014,5482.0
10,19,2014,10965.0
10,19,2014,5480.0
10,19,2014,11203.0
10,19,2014,10870.0
13,4,2014,284000.0
13,10,2014,158000.0
13,4,2014,130000.0
13,4,2014,100000.0
13,4,2014,2874080.0
14,0,2014,259958.99
14,4,2014,4221.1
14,0,2014,57608.34
14,0,2014,11563.81
14,4,2014,7358.04
14,0,2014,44045.53
14,0,2014,19558.16
14,4,2014,18421.8
14,4,2014,39756.16
14,4,2014,69895.81
14,4,2014,13474.41
14,4,2014,2366237.14
14,0,2014,6970.72
14,0,2014,146731.61
14,0,2014,11108.12
14,0,2014,11313.11
14,4,2014,10284.04
14,0,2014,12169.15
14,4,2014,9662.8
14,0,2014,14455.64
14,0,2014,13758.27
14,4,2014,22149.57
14,0,2014,18313.81
14,0,2014,8099.05
14,0,2014,16728.83
14,4,2014,21417.98
14,0,2014,22780.74
14,4,2014,95888.77
14,0,2014,29584.72
14,4,2014,27038.91
14,4,2014,11503.26
14,0,2014,3513.59
14,4,2014,25762.43
14,0,2014,18905.52
14,0,2014,35789.51
14,4,2014,4502.75
14,4,2014,10124.01
14,0,2014,13845.74
14,4,2014,20552.71
14,0,2014,11691.3
14,4,2014,14187.17
14,4,2014,23119.6
14,0,2014,49173.75
14,4,2014,16375.03
14,4,2014,12982.5
15,4,2014,28571.31
15,4,2014,3295.16
15,4,2014,55511.61
15,4,2014,1634.64
15,4,2014,25351.03
15,4,2014,21954.49
15,4,2014,3306.93
15,4,2014,20085.07
15,4,2014,17919.3
15,4,2014,8600.07
15,4,2014,3345.67
15,4,2014,56167.0
15,4,2014,475885.47
15,4,2014,9469.68
15,4,2014,15937.21
15,4,2014,8700.0
15,4,2014,22527.9
15,4,2014,12705.05
15,4,2014,467174.97
15,4,2014,4061.11
15,4,2014,5606.01
15,4,2014,36409.99
15,4,2014,26771.34
15,4,2014,18161.11
15,4,2014,12506.13
15,4,2014,16008.27
15,4,2014,164869.82
15,4,2014,18576.12
15,4,2014,17289.23
15,4,2014,19263.65
15,4,2014,17337.85
15,4,2014,3727.26
15,4,2014,19310.22
15,4,2014,6831.18
15,4,2014,5001.3
15,4,2014,22898.46
15,4,2014,19166.32
15,4,2014,15582.54
15,15,2014,7805.6
15,4,2014,25061.56
15,4,2014,5143.45
15,4,2014,10746.62
15,4,2014,4639.91
15,4,2014,15805.46
15,4,2014,11147.6
15,4,2014,25438.89
15,4,2014,7292715.04
15,4,2014,13292.14
15,4,2014,21818.13
15,4,2014,5903.03
15,4,2014,13496.65
15,4,2014,6702.47
15,4,2014,12705.57
15,4,2014,7002.5
15,4,2014,24317.71
15,4,2014,93903.5
15,4,2014,38117.28
15,4,2014,37142.63
15,4,2014,25649.82
15,4,2014,159643.28
15,4,2014,38215.13
15,4,2014,18217.11
15,4,2014,21677.91
15,4,2014,12891.2
15,4,2014,20991.96
15,4,2014,37565.07
15,4,2014,24588.23
15,4,2014,64066.43
15,4,2014,18291.27
15,4,2014,10783.49
15,4,2014,12090.34
15,4,2014,11151.25
15,4,2014,16050.78
15,4,2014,11037.58
15,4,2014,78345.84
15,4,2014,48683.14
15,4,2014,17366.88
15,4,2014,18134.94
15,4,2014,16096.44
15,4,2014,21538.22
15,4,2014,20950.58
15,4,2014,22071.68
15,4,2014,17807.86
15,4,2014,17896.62
15,4,2014,43967.7
15,4,2014,25768.88
15,4,2014,28870.8
15,4,2014,38438.19
15,4,2014,29474.31
15,4,2014,17974.28
15,4,2014,8956.85
15,4,2014,18134.13
15,4,2014,8274.58
15,4,2014,5355.92
15,4,2014,15987.06
15,4,2014,21645.11
15,4,2014,7159.37
15,4,2014,39946.4
15,4,2014,45335.5
15,4,2014,8389.28
15,4,2014,19881.36
15,4,2014,55422.2
15,4,2014,12074.09
15,4,2014,4941.56
15,4,2014,16724.23
15,4,2014,66856.32
15,4,2014,4574.66
15,4,2014,24577.12
15,4,2014,42637.34
15,4,2014,26429.22
15,4,2014,8031.53
15,4,2014,17561.78
15,4,2014,9477.82
15,4,2014,17781.08
15,4,2014,6528.75
15,4,2014,7029.29
15,4,2014,26798.93
15,4,2014,110293.92
15,4,2014,28257.83
15,4,2014,44079.35
16,22,2014,8485.29
16,10,2014,20000.0
16,22,2014,8484.56
16,22,2014,8485.0
16,4,2014,8478.12
16,5,2014,6227.0
16,6,2014,8477.53
16,5,2014,8317.76
16,10,2014,8260.01
16,5,2014,8484.61
16,5,2014,18200.0
16,5,2014,8425.29
16,23,2014,12000.0
16,5,2014,7401.37
16,5,2014,8485.29
16,9,2014,18848.6
16,5,2014,8485.29
16,5,2014,8484.39
16,6,2014,8485.25
16,5,2014,8216.65
16,5,2014,8483.22
16,5,2014,19999.99
16,5,2014,19999.8
16,5,2014,8484.94
16,5,2014,7354.35
16,6,2014,8465.65
16,5,2014,8485.29
16,5,2014,13910.36
16,5,2014,8485.29
16,5,2014,8180.2
16,10,2014,19499.0
16,6,2014,8414.33
16,10,2014,8485.29
16,5,2014,8484.8
16,5,2014,8485.29
16,22,2014,8317.87
16,6,2014,8485.0
16,5,2014,8341.91
16,5,2014,20000.0
16,22,2014,8485.29
16,5,2014,8485.29
16,22,2014,7518.41
16,10,2014,16373.75
16,4,2014,2561515.47
16,4,2014,16129.16
16,4,2014,824648.64
16,4,2014,10300.04
16,4,2014,26493.95
16,5,2014,71749.55
16,6,2014,310298.43
16,6,2014,7899.1
16,9,2014,22839.0
16,10,2014,134038.7
16,10,2014,76869.48
16,10,2014,13020.33
16,10,2014,5854.38
16,10,2014,9597.59
16,10,2014,5000.0
16,13,2014,9750.0
16,15,2014,207143.98
16,20,2014,18720.05
16,20,2014,23879.46
16,20,2014,13223.62
16,18,2014,21783.05
16,18,2014,105000.0
16,18,2014,123205.32
16,26,2014,6395.32
16,22,2014,59389.49
16,22,2014,225798.69
16,27,2014,57378.81
16,31,2014,1502.47
16,33,2014,338395.62
16,6,2014,36629.04
16,6,2014,50374.78
16,18,2014,8410.0
16,13,2014,8412.29
16,6,2014,8485.29
16,21,2014,8485.29
16,5,2014,8438.34
16,4,2014,19768.97
16,10,2014,8485.29
16,4,2014,8484.0
16,5,2014,8485.29
16,4,2014,14181.33
16,22,2014,8485.29
16,10,2014,8485.29
16,10,2014,60000.0
16,10,2014,8470.64
16,22,2014,8302.43
16,22,2014,14034.44
16,22,2014,8477.86
16,10,2014,8485.0
16,10,2014,19500.0
16,22,2014,8339.85
16,6,2014,8411.98
16,10,2014,8485.29
16,7,2014,8343.14
16,10,2014,18800.0
16,10,2014,8485.29
16,22,2014,8343.14
16,5,2014,8485.29
16,22,2014,8387.82
16,5,2014,8485.29
16,5,2014,19390.0
16,18,2014,8485.29
16,5,2014,20000.0
16,10,2014,8485.29
16,10,2014,19945.0
16,22,2014,8485.28
